customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,Age_group,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
20,Basile,Firth,Male,72,1980-08-13,40.85039061073059,mid-age adult,Project Manager,Manufacturing,Mass Customer,N,No,11
21,Mile,Cammocke,Male,74,1980-09-20,40.7462810216895,mid-age adult,Safety Technician I,Manufacturing,Affluent Customer,N,Yes,16
24,Kim,Skpsey,Female,55,1977-12-03,43.546281021689495,mid-age adult,Research Assistant I,Argiculture,Mass Customer,N,Yes,15
25,Geoff,Assaf,Male,72,1976-12-02,44.549020747716895,mid-age adult,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
26,Trixi,Ginnelly,Female,12,1978-06-10,43.028472802511416,mid-age adult,Editor,Financial Services,Mass Customer,N,Yes,16
27,Garvin,Klees,Male,37,1978-09-25,42.735322117579905,mid-age adult,Research Nurse,Health,Mass Customer,N,Yes,12
28,Fee,Zellmer,Male,5,1973-09-30,47.72436321347032,mid-age adult,Senior Quality Engineer,Health,Affluent Customer,N,Yes,21
29,Mona,Sancraft,Female,62,1968-06-22,53.00107554223744,mid-age adult,Safety Technician III,Manufacturing,Mass Customer,N,No,19
31,Star,Praton,Female,3,1962-11-24,58.58189746004566,mid-age adult,Staff Accountant III,Telecommunications,High Net Worth,N,Yes,14
32,Marion,Vanichkin,Female,17,1995-04-20,26.157239925799086,adult,Legal Assistant,Manufacturing,Affluent Customer,N,No,4
33,Ernst,Hacon,Male,44,1957-06-25,64.00107554223744,senior cetizen,Product Engineer,,Affluent Customer,N,Yes,11
35,Margaretha,Strettle,Female,40,1963-09-28,57.738061843607305,mid-age adult,Information Systems Manager,Health,High Net Worth,N,Yes,16
36,Lurette,Stonnell,Female,33,1977-11-09,43.61203444634703,mid-age adult,VP Quality Control,,Affluent Customer,N,No,22
37,Laurie,Dwerryhouse,Female,46,1985-12-22,35.48874677511415,adult,Social Worker,Health,High Net Worth,N,No,16
38,Cordi,Merman,Female,37,1955-10-29,65.65860978881278,senior cetizen,Senior Cost Accountant,Financial Services,Affluent Customer,N,No,20
39,Hunfredo,Smalley,Male,5,1979-04-16,42.17915773401826,mid-age adult,Assistant Media Planner,Entertainment,Mass Customer,N,No,22
40,Tomasine,Jerche,Female,91,1981-10-27,39.6449111586758,mid-age adult,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,N,No,14
41,Basilius,Coupe,Male,64,1976-04-14,45.184637186073054,mid-age adult,Food Chemist,Health,Mass Customer,N,No,16
42,Chiquita,Durnall,Female,24,1977-03-28,44.23121252853881,mid-age adult,Accountant III,Manufacturing,Mass Customer,N,No,18
43,Indira,Belt,Female,38,1983-03-01,38.30244540525114,adult,Director of Sales,Retail,Mass Customer,N,No,5
44,Neron,Verick,Male,63,1981-10-18,39.669568692922375,mid-age adult,Assistant Media Planner,Entertainment,Affluent Customer,N,Yes,17
45,Trace,Woodhead,Male,64,1975-09-23,45.7435412956621,mid-age adult,Senior Financial Analyst,Financial Services,Mass Customer,N,No,8
47,Matthew,Jeaycock,Male,51,1992-10-22,28.650390610730593,adult,Registered Nurse,Health,Affluent Customer,N,No,2
48,Rebbecca,Casone,Female,46,1975-08-15,45.85039061073059,mid-age adult,Biostatistician II,,Mass Customer,N,Yes,8
49,Nolly,Ownsworth,Male,63,1994-01-26,27.387376912100454,adult,VP Quality Control,,Affluent Customer,N,No,1
50,Whitby,Schapero,Male,38,1980-10-01,40.716144035388126,mid-age adult,Account Executive,Manufacturing,Mass Customer,N,Yes,16
51,Fidelio,Dilke,Male,68,1959-12-05,61.55450019977169,senior cetizen,Computer Systems Analyst II,Retail,Mass Customer,N,No,18
53,Agnella,Gocke,Female,22,1954-04-18,67.19011663812785,senior cetizen,Software Test Engineer II,Financial Services,Mass Customer,N,No,16
54,Loralyn,Wonfor,Female,2,1966-07-24,54.91614403538813,mid-age adult,Sales Associate,Property,Mass Customer,N,Yes,18
55,Linc,Jillions,Male,48,1956-09-24,64.75176047374428,senior cetizen,Paralegal,Financial Services,Affluent Customer,N,Yes,7
56,Reese,Ensor,Male,44,1996-07-04,24.949020747716894,adult,VP Sales,Property,Mass Customer,N,Yes,4
57,Abba,Masedon,Male,87,1988-06-13,33.01203444634703,adult,Chief Design Engineer,,Mass Customer,N,Yes,13
58,Dalenna,Pinnock,Female,26,1967-07-04,53.97093855593607,mid-age adult,Office Assistant III,Financial Services,Affluent Customer,N,Yes,17
59,Niki,Heathcote,Male,60,2000-02-08,21.349020747716892,youth,Physical Therapy Assistant,,High Net Worth,N,No,3
61,Kacey,Rowbottom,Female,47,1959-11-29,61.570938555936074,senior cetizen,Help Desk Operator,Property,High Net Worth,N,No,13
63,Ebony,Zini,Female,58,1965-07-03,55.973678281963466,mid-age adult,Senior Quality Engineer,Retail,Mass Customer,N,Yes,16
64,Gerek,Yve,Male,73,1978-03-25,43.239431706621005,mid-age adult,Legal Assistant,IT,High Net Worth,N,No,4
65,Yale,Tanser,Male,21,1976-04-01,45.22025362442922,mid-age adult,Information Systems Manager,Financial Services,Affluent Customer,N,Yes,15
66,Anselm,Gawne,Male,46,2002-03-11,19.26134951484018,youth,Account Executive,Argiculture,High Net Worth,N,No,1
67,Vernon,,Male,67,1960-06-14,61.028472802511416,senior cetizen,Web Developer II,Retail,Mass Customer,N,No,18
68,Dahlia,Eddoes,Female,37,1974-04-21,47.168198829908675,mid-age adult,Information Systems Manager,,Affluent Customer,N,No,9
69,Heidi,Milner,Female,16,1969-06-22,52.00107554223744,mid-age adult,Web Developer II,,Mass Customer,N,No,6
70,Foster,Vannoort,Male,78,1993-02-27,28.29970567922374,adult,Paralegal,Financial Services,Affluent Customer,N,No,8
71,Hoyt,Glavias,Male,30,1985-01-27,36.39011663812785,adult,Research Associate,Argiculture,Affluent Customer,N,Yes,12
72,Sammy,Cheese,Male,93,1972-02-13,49.354500199771685,mid-age adult,Administrative Officer,Manufacturing,Affluent Customer,N,Yes,16
73,Minette,Worters,Female,16,1960-05-27,61.07778787100457,senior cetizen,Teacher,,Affluent Customer,N,Yes,5
75,Dollie,Sealy,Female,28,1978-07-15,42.93258239155251,mid-age adult,VP Product Management,Property,Mass Customer,N,No,19
76,Rea,Hasser,Female,20,1978-01-23,43.406554994292236,mid-age adult,Statistician II,Retail,High Net Worth,N,Yes,18
77,Shermie,Andrin,Male,79,1989-09-12,31.76271937785388,adult,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
78,Arch,Van der Kruis,Male,37,1985-03-12,36.26956869292237,adult,Business Systems Development Analyst,Argiculture,Affluent Customer,N,No,8
79,Tybi,Silliman,Female,76,1968-10-02,52.72162348744292,mid-age adult,Account Executive,Manufacturing,Mass Customer,N,No,18
80,Pablo,Small,Male,11,1978-04-24,43.15723992579908,mid-age adult,Data Coordiator,Entertainment,Mass Customer,N,No,13
82,Gleda,Cokely,Female,93,1965-06-28,55.98737691210045,mid-age adult,Software Test Engineer III,Property,High Net Worth,N,No,19
83,Kerr,Simmell,Male,97,1967-02-26,54.32162348744292,mid-age adult,Internal Auditor,IT,Mass Customer,N,Yes,18
84,Rich,Mathiasen,Male,78,1958-02-07,63.379157734018264,senior cetizen,Accountant III,,Mass Customer,N,Yes,14
85,Kane,Tixall,Male,1,1958-05-21,63.096965953196346,senior cetizen,Analyst Programmer,,Mass Customer,N,No,8
86,Job,Sleney,Male,75,1989-03-04,32.288746775114156,adult,Occupational Therapist,Health,High Net Worth,N,Yes,7
87,Fields,Langdon,Male,78,1974-04-23,47.16271937785388,mid-age adult,Editor,Financial Services,Mass Customer,N,No,8
88,Malynda,Tumber,Female,41,1966-02-03,55.38463718607306,mid-age adult,Help Desk Operator,Property,High Net Worth,N,Yes,7
89,Benedicto,Hoxey,Male,74,1967-01-22,54.41751389840182,mid-age adult,Speech Pathologist,Health,Mass Customer,N,Yes,14
90,Cary,Garron,Male,76,1984-11-12,36.598335816210046,adult,Quality Control Specialist,Manufacturing,Mass Customer,N,No,11
91,Dylan,Meaker,Male,69,1955-02-24,66.3353221175799,senior cetizen,Senior Financial Analyst,Financial Services,Affluent Customer,N,Yes,17
92,Jodee,Judkins,Female,98,1980-09-11,40.77093855593607,mid-age adult,Recruiting Manager,Health,Mass Customer,N,No,12
93,Gordon,Gowar,Male,63,1976-07-16,44.929842665525115,mid-age adult,Project Manager,Retail,Mass Customer,N,Yes,10
94,Wallache,Simchenko,Male,33,1974-08-07,46.87230841894977,mid-age adult,Civil Engineer,Manufacturing,Mass Customer,N,No,21
95,Nomi,Mallinder,Female,67,1960-12-25,60.496965953196344,senior cetizen,Software Engineer III,Manufacturing,Affluent Customer,N,Yes,8
96,Heath,Olford,Male,33,1968-08-31,52.809294720319635,mid-age adult,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,15
97,Arne,Corain,Male,16,1979-07-27,41.89970567922374,mid-age adult,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,10
98,Allianora,Babalola,Female,19,1956-03-17,65.27504814497716,senior cetizen,Safety Technician IV,Health,Mass Customer,N,No,7
99,Reggie,Mulliner,Male,97,1998-06-13,23.006554994292234,youth,VP Accounting,Financial Services,Mass Customer,N,No,3
100,Tripp,Steed,Male,80,1968-05-11,53.116144035388125,mid-age adult,General Manager,Financial Services,Mass Customer,N,Yes,4
101,Goran,Kwietek,Male,83,1975-12-29,45.477787871004566,mid-age adult,Nurse Practicioner,Manufacturing,High Net Worth,N,No,11
102,Langsdon,Tranfield,Male,51,1956-11-27,64.57641800799087,senior cetizen,Quality Control Specialist,Manufacturing,Affluent Customer,N,No,16
103,Ethyl,Runham,Female,49,1997-04-21,24.15176047374429,adult,Product Engineer,Financial Services,Affluent Customer,N,Yes,4
104,Odille,Panketh,Female,40,1978-06-06,43.039431706621,mid-age adult,Automation Specialist II,Health,Mass Customer,N,Yes,9
105,Maribeth,Pristnor,Female,25,2001-09-17,19.7408015696347,youth,Recruiting Manager,Manufacturing,Mass Customer,N,No,1
106,Glyn,,Male,54,1966-07-03,54.973678281963466,mid-age adult,Software Test Engineer III,Health,High Net Worth,N,Yes,18
107,Pris,Stallebrass,Female,97,1990-07-01,30.96271937785388,adult,Nurse Practicioner,Financial Services,Mass Customer,N,Yes,9
109,Cody,Blabey,Male,16,1978-12-11,42.524363213470316,mid-age adult,Marketing Assistant,,Affluent Customer,N,Yes,4
111,Cele,Evason,Female,65,1993-08-29,27.79833581621004,adult,Analyst Programmer,,Mass Customer,N,No,2
112,Shena,Parren,Female,88,1975-08-12,45.858609788812785,mid-age adult,Marketing Manager,Retail,High Net Worth,N,No,12
113,Gage,Nickless,Male,67,1956-05-06,65.1380618436073,senior cetizen,Staff Scientist,,Mass Customer,N,No,20
114,Sunny,Swindells,Female,10,1985-10-23,35.65313033675799,adult,Teacher,Entertainment,Affluent Customer,N,No,8
115,Alberik,Mereweather,Male,77,1981-12-21,39.494226227168944,mid-age adult,Account Executive,Health,Mass Customer,N,No,18
116,Scottie,Swiffen,Male,49,1999-02-05,22.357239925799085,youth,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,2
117,Nance,Suttling,Female,75,1982-02-23,39.31888376141552,mid-age adult,Marketing Manager,Manufacturing,Mass Customer,N,No,15
118,Prentice,Pearmain,Male,43,1959-11-12,61.617513898401825,senior cetizen,Budget/Accounting Analyst IV,,High Net Worth,N,No,19
119,Willey,Chastanet,Male,9,1981-12-04,39.5408015696347,mid-age adult,Associate Professor,,High Net Worth,N,Yes,9
120,Sloan,Wagg,Male,80,1978-09-02,42.79833581621004,mid-age adult,Legal Assistant,Financial Services,High Net Worth,N,Yes,4
121,Myles,Pauncefort,Male,82,1957-10-02,63.72984266552511,senior cetizen,Graphic Designer,Manufacturing,Mass Customer,N,No,15
122,Colver,Itter,Male,87,1979-04-19,42.17093855593607,mid-age adult,Quality Control Specialist,Financial Services,Mass Customer,N,Yes,12
123,Almeta,Kalinsky,Female,85,1988-12-03,32.5380618436073,adult,Analyst Programmer,Financial Services,High Net Worth,N,No,15
124,Kath,Cunney,Female,27,1995-05-03,26.12162348744292,adult,Administrative Assistant II,Health,High Net Worth,N,Yes,5
125,Darrelle,Antoniewski,Female,94,1960-03-17,61.27230841894977,senior cetizen,Computer Systems Analyst II,Property,Mass Customer,N,No,16
126,Norman,Cliff,Male,53,1992-10-15,28.669568692922372,adult,Administrative Officer,Health,Mass Customer,N,Yes,3
127,Merrili,Whitear,Female,81,1974-12-03,46.549020747716895,mid-age adult,Compensation Analyst,Financial Services,Mass Customer,N,No,19
128,Isidro,Cypler,Male,73,1977-07-17,43.927102939497715,mid-age adult,Systems Administrator III,Property,Mass Customer,N,Yes,12
129,Weidar,Silkstone,Male,64,1985-07-20,35.91340430936073,adult,Financial Advisor,Financial Services,High Net Worth,N,Yes,19
130,Raddy,Delete,Male,32,1997-07-18,23.910664583333332,youth,Chemical Engineer,Manufacturing,Mass Customer,N,No,1
131,Jana,Renyard,Female,57,1964-10-16,56.686007049086754,mid-age adult,Administrative Officer,Retail,High Net Worth,N,No,8
132,Celesta,Willavoys,Female,5,1963-07-07,57.96545910388128,mid-age adult,Web Designer I,Manufacturing,Mass Customer,N,Yes,9
133,Eldridge,Fiddeman,Male,12,1977-06-13,44.02025362442922,mid-age adult,VP Accounting,Financial Services,Mass Customer,N,Yes,16
134,Merna,McCulloch,Female,34,1997-08-01,23.872308418949768,youth,Legal Assistant,Telecommunications,Affluent Customer,N,Yes,5
135,Rosalia,Sigart,Female,18,1975-01-18,46.42299335045662,mid-age adult,Internal Auditor,IT,Mass Customer,N,No,3
136,Mel,Bennet,Male,46,1973-05-26,48.07230841894977,mid-age adult,Senior Developer,Manufacturing,High Net Worth,N,Yes,7
137,Vaughn,Artin,Male,27,1987-11-21,33.57367828196347,adult,Office Assistant II,Property,High Net Worth,N,No,10
138,Onofredo,Franc,Male,5,1985-04-28,36.140801569634704,adult,Recruiter,Financial Services,Affluent Customer,N,Yes,13
139,Gar,,Male,1,1964-07-28,56.905185131278536,mid-age adult,Operator,Telecommunications,Affluent Customer,N,No,4
140,Morrie,Flaxon,Male,9,1994-05-20,27.075048144977167,adult,Programmer Analyst III,Manufacturing,Mass Customer,N,No,2
141,Townsend,Trobe,Male,67,1954-06-25,67.00381526826484,senior cetizen,Teacher,Financial Services,High Net Worth,N,Yes,10
142,Bentley,Fortesquieu,Male,57,1967-08-07,53.877787871004564,mid-age adult,Quality Engineer,Health,Affluent Customer,N,No,17
143,Kendall,Figg,Male,19,1957-09-01,63.81477417237443,senior cetizen,Operator,Argiculture,Mass Customer,N,Yes,11
145,Filippo,Ferrara,Male,33,1997-07-21,23.90244540525114,youth,Account Executive,Financial Services,Mass Customer,N,No,4
146,Ricoriki,Matlock,Male,34,1985-04-08,36.19559608954846,adult,Quality Control Specialist,Manufacturing,Mass Customer,N,No,8
147,Rea,Pattrick,Female,32,1973-12-06,47.540801569000514,mid-age adult,Analog Circuit Design manager,Health,Mass Customer,N,Yes,10
148,Jaquith,Maffey,Female,69,1981-05-08,40.116144034753944,mid-age adult,Programmer Analyst III,,Mass Customer,N,Yes,5
149,Drucy,Kausche,Female,41,1995-01-31,26.373678281329283,adult,Research Nurse,Health,Mass Customer,N,Yes,1
150,Bradly,Crosse,Male,6,1983-08-23,37.82299334982243,adult,Cost Accountant,Financial Services,Affluent Customer,N,No,17
151,Donnie,Brimson,Male,36,1965-01-31,56.39285636352106,mid-age adult,Marketing Manager,Manufacturing,Mass Customer,N,Yes,13
152,Stephana,Cardew,Female,5,1981-03-03,40.29696595256216,mid-age adult,Compensation Analyst,Financial Services,Mass Customer,N,No,16
153,Lorilyn,Walshe,Female,73,1977-07-28,43.89696595256216,mid-age adult,Assistant Media Planner,Entertainment,Mass Customer,N,Yes,12
154,Faydra,Dulieu,Female,90,1958-02-13,63.3627193772197,senior cetizen,Junior Executive,,Mass Customer,N,No,11
155,Orran,Bogges,Male,4,1985-12-28,35.472308418315585,adult,Quality Engineer,Manufacturing,Mass Customer,N,No,10
156,Shayla,Rimmington,Female,23,1979-09-09,41.779157733384075,mid-age adult,Cost Accountant,Financial Services,Mass Customer,N,Yes,11
157,Chad,Houtby,Male,97,1974-11-23,46.57641800735668,mid-age adult,Financial Advisor,Financial Services,Affluent Customer,N,No,16
158,Hamlin,Odams,Male,99,1984-09-03,36.79011663749367,adult,Internal Auditor,,Affluent Customer,N,No,5
159,Arin,Matskevich,Male,90,1987-05-12,34.10244540461696,adult,Research Nurse,Health,Affluent Customer,N,No,13
160,Wake,Durning,Male,5,1964-07-15,56.94080156900051,mid-age adult,Registered Nurse,Health,Mass Customer,N,No,18
162,Port,Acuna,Male,90,1979-08-12,41.855870062151205,mid-age adult,Nurse Practicioner,IT,Mass Customer,N,No,15
163,Kessia,Helder,Female,58,1976-09-06,44.78737691146627,mid-age adult,Librarian,Entertainment,High Net Worth,N,Yes,14
164,Aarika,Van Vuuren,Female,55,1999-08-07,21.8558700621512,youth,Senior Editor,Retail,Affluent Customer,N,Yes,1
165,Aldon,Roelofs,Male,61,1984-03-25,37.233952253932024,adult,Administrative Officer,Argiculture,Mass Customer,N,Yes,12
166,Elston,Oleszczak,Male,54,1955-06-12,66.03943170598681,senior cetizen,Structural Analysis Engineer,Manufacturing,Affluent Customer,N,No,6
169,Alfy,Bruhnke,Male,20,1957-10-19,63.68326732242517,senior cetizen,Data Coordiator,Telecommunications,High Net Worth,N,Yes,5
170,Jammal,Gever,Male,80,1975-06-02,46.05313033612381,mid-age adult,Pharmacist,Health,High Net Worth,N,No,21
171,Halli,Davidoff,Female,62,1970-12-04,50.54902074708271,mid-age adult,Assistant Manager,Manufacturing,Mass Customer,N,No,10
172,Hilton,Carney,Male,54,1988-09-12,32.762719377219696,adult,Editor,Manufacturing,Affluent Customer,N,Yes,6
173,Ebba,Hanselmann,Female,99,1997-01-02,24.450390610096406,adult,General Manager,Health,Affluent Customer,N,No,1
174,Catie,Tosspell,Female,93,1989-11-26,31.5572399251649,adult,Food Chemist,Health,Mass Customer,N,No,12
175,Templeton,Hambrook,Male,36,1975-11-28,45.56271937721969,mid-age adult,Quality Engineer,Manufacturing,Affluent Customer,N,No,5
176,Angelo,Clayal,Male,39,1992-04-13,29.17641800735668,adult,Accountant I,Property,Mass Customer,N,No,10
177,Ondrea,Pablos,Female,25,1989-11-09,31.603815267630655,adult,Professor,Financial Services,High Net Worth,N,No,4
179,Esteban,Sewill,Male,23,1966-05-11,55.11888376078134,mid-age adult,Environmental Tech,Manufacturing,High Net Worth,N,Yes,6
180,Trisha,Neasham,Female,16,1971-09-17,49.762719377219696,mid-age adult,Web Designer III,Argiculture,Affluent Customer,N,No,14
181,Pavla,Braunle,Female,49,1982-11-21,38.57641800735668,adult,Senior Editor,Manufacturing,Mass Customer,N,No,9
182,Lydon,Dahlman,Male,99,1992-11-20,28.570938555301886,adult,Sales Associate,Financial Services,Affluent Customer,N,Yes,7
183,Dannie,Hissie,Female,7,1997-08-05,23.861349514205997,youth,Geologist III,Retail,Affluent Customer,N,No,3
184,Nappie,Paolo,Male,40,1971-12-13,49.524363212836136,mid-age adult,Marketing Manager,Manufacturing,High Net Worth,N,Yes,7
186,Mireielle,Jeppe,Female,46,1974-05-06,47.12710293886353,mid-age adult,Software Test Engineer I,Financial Services,Mass Customer,N,No,3
187,Pincas,Ather,Male,97,1954-01-28,67.40929471968545,senior cetizen,Structural Engineer,,Mass Customer,N,No,11
188,Audry,Seine,Female,54,1975-06-22,45.99833581557586,mid-age adult,Safety Technician II,Property,High Net Worth,N,Yes,13
189,Umberto,Torricella,Male,73,1981-07-19,39.91888376078134,mid-age adult,Safety Technician I,Financial Services,Affluent Customer,N,No,10
190,Hayley,Girardengo,Female,42,1979-02-04,42.37367828132928,mid-age adult,Registered Nurse,Health,Affluent Customer,N,No,10
191,Christopher,Heining,Male,22,1960-04-27,61.159979651192295,senior cetizen,Help Desk Operator,,Affluent Customer,N,Yes,6
192,Goldi,Osler,Female,2,1978-11-19,42.58463718543887,mid-age adult,Junior Executive,Health,Mass Customer,N,Yes,8
193,Foss,Hardes,Male,13,1964-07-22,56.921623486808734,mid-age adult,Recruiting Manager,Manufacturing,Mass Customer,N,Yes,12
194,Ursala,Ferrai,Female,4,1974-11-16,46.595596089548465,mid-age adult,Web Developer III,Financial Services,Affluent Customer,N,No,10
195,Talyah,Rylatt,Female,34,1958-11-14,62.612034445712844,senior cetizen,Project Manager,Manufacturing,Mass Customer,N,No,6
196,Swen,Odhams,Male,90,1966-02-22,55.332582390918326,mid-age adult,Programmer Analyst II,Manufacturing,High Net Worth,N,No,6
198,Vanya,Gumb,Female,82,1981-11-29,39.5545001991375,mid-age adult,Assistant Media Planner,Entertainment,Mass Customer,N,No,16
199,Verla,Alven,Female,61,1978-02-13,43.34902074708271,mid-age adult,Junior Executive,Health,Mass Customer,N,Yes,21
200,Hube,Weald,Male,7,1957-02-04,64.38737691146628,senior cetizen,Physical Therapy Assistant,Property,Affluent Customer,N,Yes,19
201,Salem,Huie,Male,45,1966-04-20,55.17641800735668,mid-age adult,Design Engineer,Manufacturing,Mass Customer,N,Yes,11
202,Audie,Pillinger,Female,38,1963-06-24,58.00107554160326,mid-age adult,Librarian,Entertainment,Affluent Customer,N,Yes,16
203,Donovan,Conry,Male,71,1964-01-13,57.44491115804161,mid-age adult,Senior Quality Engineer,Argiculture,Mass Customer,N,Yes,11
204,Thorny,Hackworth,Male,56,1976-10-01,44.71888376078134,mid-age adult,Editor,Financial Services,Mass Customer,N,No,5
205,Rolfe,Kellard,Male,18,1958-12-01,62.56545910324709,senior cetizen,Administrative Assistant II,Financial Services,Mass Customer,N,Yes,6
206,Mari,Chevolleau,Female,98,1954-07-19,66.93806184297311,senior cetizen,Statistician I,,Mass Customer,N,Yes,14
208,Rutter,Excell,Male,57,1994-10-31,26.62573307584983,adult,Office Assistant III,Property,High Net Worth,N,No,5
209,Udall,Bellard,Male,9,1957-08-28,63.82573307584983,senior cetizen,Analog Circuit Design manager,,Affluent Customer,N,Yes,6
210,Albrecht,Thomasson,Male,50,1963-11-18,57.59833581557586,mid-age adult,Assistant Manager,Property,Mass Customer,N,No,18
211,Beitris,,Female,6,1974-03-04,47.29970567858956,mid-age adult,VP Marketing,Manufacturing,Mass Customer,N,Yes,5
212,Nanice,Ellse,Female,21,2001-11-19,19.56819882927449,youth,Desktop Support Technician,IT,Affluent Customer,N,No,1
213,Lockwood,Exroll,Male,13,1996-05-14,25.08874677447997,adult,Actuary,Financial Services,High Net Worth,N,Yes,6
214,Jeramie,Cellier,Male,82,1957-11-29,63.570938555301886,senior cetizen,Food Chemist,Health,Mass Customer,N,No,6
215,Debera,Foxworthy,Female,37,1974-06-24,46.992856363521064,mid-age adult,Assistant Professor,Retail,High Net Worth,N,Yes,18
216,Cinderella,Parcall,Female,12,1995-01-12,26.42573307584983,adult,Quality Engineer,Financial Services,High Net Worth,N,Yes,7
218,Stefa,Dunnan,Female,37,1993-08-06,27.861349514205997,adult,Administrative Officer,Property,High Net Worth,N,Yes,8
219,Markus,Mughal,Male,9,1964-11-25,56.57641800735668,mid-age adult,Database Administrator III,Health,Mass Customer,N,No,7
220,Jeniffer,Apark,Female,79,1954-05-10,67.12984266489093,senior cetizen,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
221,Mara,Bloore,Female,14,1980-03-10,41.27778787037038,mid-age adult,Tax Accountant,Manufacturing,Mass Customer,N,No,14
222,Nev,Larive,Male,89,1978-09-03,42.79559608954846,mid-age adult,Clinical Specialist,Health,Mass Customer,N,No,16
223,Ossie,Meaton,Male,13,1983-11-26,37.56271937721969,adult,VP Sales,,Affluent Customer,N,Yes,14
224,Morgun,Girvan,Male,2,1967-12-03,53.5545001991375,mid-age adult,Compensation Analyst,Financial Services,Affluent Customer,N,No,17
225,Brittaney,Pring,Female,84,1977-03-11,44.27778787037038,mid-age adult,Pharmacist,Health,Affluent Customer,N,No,13
226,Bondie,Letty,Male,96,1977-11-11,43.60655499365805,mid-age adult,Database Administrator IV,Manufacturing,Mass Customer,N,No,20
227,Wendall,McKeand,Male,99,1973-08-14,47.853130336123805,mid-age adult,Accountant I,Entertainment,Mass Customer,N,No,18
228,Lucia,Pickervance,Female,59,1986-05-25,35.06682896626079,adult,Systems Administrator II,Manufacturing,High Net Worth,N,No,12
230,Maegan,Scyone,Female,74,1954-06-24,67.00655499365806,senior cetizen,Internal Auditor,Property,High Net Worth,N,No,11
231,Basile,Winsor,Male,48,1995-08-05,25.864089240233394,adult,Design Engineer,Financial Services,Mass Customer,N,Yes,3
232,Zaria,Koeppke,Female,94,1987-11-11,33.60107554160326,adult,Professor,Retail,Mass Customer,N,No,12
233,Art,Barwell,Male,34,1986-08-08,34.861349514206,adult,Environmental Tech,Property,Mass Customer,N,No,13
234,Mead,Alpes,Female,71,1969-08-12,51.861349514206,mid-age adult,Chief Design Engineer,Retail,High Net Worth,N,No,12
235,Leona,Phateplace,Female,30,1976-12-26,44.48326732242517,mid-age adult,Social Worker,Health,Mass Customer,N,No,15
236,Tybalt,Gillingwater,Male,79,1954-10-30,66.6558700621512,senior cetizen,Research Nurse,Health,Affluent Customer,N,No,14
237,Reginald,Dartan,Male,18,1974-03-07,47.29148650050737,mid-age adult,Account Coordinator,Property,High Net Worth,N,Yes,11
238,Max,Bilborough,Male,54,1984-02-04,37.37093855530188,adult,Programmer III,,Mass Customer,N,Yes,14
239,Wells,Pressman,Male,62,1992-12-13,28.50792485667175,adult,Registered Nurse,Health,Affluent Customer,N,No,3
240,Gavin,Fawks,Male,49,1989-07-28,31.88874677447997,adult,Administrative Assistant III,IT,High Net Worth,N,Yes,15
